 ,Area,Mean,X,Y,Circ.,AR,Round,Solidity
1,0.835,47.371,115.733,9.019,0.972,1.070,0.934,0.925
2,0.040,141.443,233.065,30.359,1.000,1.500,0.667,1.000
3,0.283,102.004,34.496,32.144,0.951,1.235,0.809,0.884
4,0.343,124.201,87.295,32.480,0.963,1.101,0.908,0.887
5,0.162,109.202,24.202,34.909,1.000,1.214,0.824,0.889
6,0.020,178.413,236.484,35.596,1.000,1.464,0.683,0.857
7,0.969,45.187,132.497,41.391,0.958,1.081,0.925,0.929
8,0.047,177.809,226.583,44.266,1.000,1.596,0.626,0.875
9,0.061,167.167,243.184,45.078,1.000,1.340,0.746,0.857
10,0.040,149.873,216.559,49.613,1.000,1.291,0.775,0.800
11,0.020,226.484,235.827,49.900,1.000,1.464,0.683,0.857
12,2.700,44.726,130.660,51.724,0.910,1.015,0.985,0.941
13,0.013,166.703,225.762,52.759,1.000,2.000,0.500,1.000
14,0.047,199.923,237.203,53.561,0.898,1.668,0.600,0.778
15,0.168,189.009,228.962,55.471,0.873,1.642,0.609,0.820
16,0.162,169.396,232.682,56.830,1.000,1.222,0.818,0.906
17,0.330,147.619,220.451,57.240,0.943,1.403,0.713,0.907
18,0.027,246.036,238.931,58.502,1.000,1.000,1.000,1.000
19,0.013,232.154,246.111,58.502,1.000,2.000,0.500,1.000
20,0.088,258.333,220.543,59.067,1.000,1.159,0.863,0.897
21,0.148,163.046,230.458,59.345,1.000,1.249,0.800,0.957
22,0.094,234.464,243.198,59.774,0.993,1.127,0.887,0.824
23,0.034,200.641,222.103,60.036,1.000,1.553,0.644,0.909
24,0.094,184.588,216.942,61.415,0.993,1.127,0.887,0.824
25,0.034,206.027,215.145,61.595,1.000,1.553,0.644,0.909
26,0.007,174.395,219.198,61.497,1.000,1.000,1.000,1.000
27,0.034,178.645,226.534,61.809,1.000,1.553,0.644,0.909
28,0.081,242.531,241.188,62.030,1.000,1.333,0.750,1.000
29,0.074,202.571,232.050,62.444,1.000,1.139,0.878,0.815
30,0.074,176.635,222.055,62.907,0.976,1.035,0.966,0.846
31,0.020,203.027,234.159,63.247,1.000,1.464,0.683,0.857
32,0.034,205.918,234.640,63.515,1.000,1.553,0.644,0.909
33,0.088,194.522,218.984,64.489,1.000,1.450,0.690,0.897
34,0.141,178.290,224.215,65.205,1.000,1.062,0.942,0.913
35,0.209,229.805,236.342,66.261,0.960,1.329,0.753,0.899
36,0.088,206.923,227.782,66.306,1.000,1.159,0.863,0.897
37,0.067,201.848,236.979,66.313,0.982,1.241,0.806,0.800
38,0.074,168.052,240.569,66.532,1.000,1.139,0.878,0.815
39,0.168,231.265,245.051,66.646,0.896,1.716,0.583,0.862
40,0.074,200.668,232.938,66.681,0.976,1.450,0.689,0.846
41,0.141,193.360,226.731,66.959,1.000,1.221,0.819,0.857
42,0.491,143.268,80.475,67.271,0.921,1.358,0.736,0.924
43,0.020,274.370,236.730,67.186,1.000,1.464,0.683,0.857
44,0.229,190.823,230.881,67.998,0.919,1.360,0.736,0.861
45,0.047,191.342,224.285,68.249,1.000,1.069,0.936,0.875
46,0.222,162.360,216.307,69.277,1.000,1.343,0.744,0.904
47,0.202,131.518,94.922,69.680,1.000,1.241,0.806,0.923
48,0.168,215.809,238.772,69.942,0.981,1.447,0.691,0.926
49,0.074,467.305,241.218,70.351,1.000,1.372,0.729,0.957
50,0.027,370.548,225.639,70.892,1.000,1.000,1.000,1.000
51,0.020,163.698,219.827,71.152,1.000,1.464,0.683,0.857
52,0.135,119.986,32.574,71.491,0.965,1.027,0.974,0.833
53,0.357,144.887,82.719,72.094,0.877,1.361,0.735,0.876
54,0.061,191.611,232.983,72.328,1.000,1.000,1.000,1.000
55,0.027,208.985,228.511,72.615,1.000,1.000,1.000,1.000
56,0.148,156.140,209.830,72.839,0.988,1.276,0.784,0.863
57,0.128,176.257,236.990,73.066,1.000,1.391,0.719,0.884
58,0.007,206.112,235.034,73.805,1.000,1.000,1.000,1.000
59,0.054,226.948,243.065,74.225,1.000,1.229,0.814,0.941
60,0.195,188.798,225.021,74.430,0.977,1.360,0.735,0.921
61,0.054,235.382,229.855,75.538,1.000,1.229,0.814,0.941
62,0.047,208.065,233.557,75.774,1.000,1.596,0.626,0.875
63,0.108,161.761,103.589,76.092,1.000,1.452,0.689,0.821
64,0.027,141.696,16.984,76.143,1.000,1.000,1.000,1.000
65,0.074,206.724,230.633,77.780,1.000,1.139,0.878,0.815
66,0.141,167.081,219.444,77.989,1.000,1.000,1.000,0.913
67,0.027,453.073,237.249,77.866,1.000,2.031,0.492,0.800
68,0.081,128.074,20.513,78.276,1.000,1.000,1.000,0.857
69,0.175,177.329,87.942,78.557,0.932,1.333,0.750,0.881
